CODE;TYPE;DESCRIPTION
"EF000063";"Numeric";"Length belt/tape/tie"
"EF000064";"Alphanumeric";"Type of connection"
"EF000065";"Numeric";"Inner diameter"
"EF000066";"Alphanumeric";"Suitable for lamp type"
"EF000067";"Alphanumeric";"Core identification"
"EF000068";"Alphanumeric";"Dielectric"
"EF000069";"Numeric";"Total number of fibre bundles"
"EF000071";"Logical";"With carpet border"
"EF000072";"Numeric";"Duct height"
"EF000073";"Alphanumeric";"Suitable for"
"EF000074";"Numeric";"Number of units"
"EF000076";"Numeric";"Power"
"EF000078";"Numeric";"Luminous flux"
"EF000079";"Numeric";"Hole diameter"
"EF000080";"Alphanumeric";"Fibre type"
"EF000081";"Alphanumeric";"Cable type"
"EF000083";"Logical";"Flexible"
"EF000084";"Logical";"Shock resistant"
"EF000085";"Numeric";"Conductor cross section"
"EF000088";"Alphanumeric";"Size"
"EF000089";"Numeric";"Light centre height"
"EF000090";"Numeric";"Mounting arm length"
"EF000091";"Logical";"Collapsible"
"EF000093";"Logical";"With base plate"
"EF000097";"Logical";"Self adhesive mounting"
"EF000098";"Alphanumeric";"Type of side wall"
"EF000101";"Alphanumeric";"Application range"
"EF000103";"Numeric";"Colour temperature"
"EF000104";"Numeric";"Supply voltage"
"EF000105";"Numeric";"Mains voltage"
"EF000106";"Numeric";"Input voltage"
"EF000107";"Numeric";"Output voltage"
"EF000108";"Alphanumeric";"Galvanic separation"
"EF000109";"Logical";"Electronic"
"EF000111";"Numeric";"Operating voltage"
"EF000112";"Alphanumeric";"Output"
"EF000113";"Logical";"Lockable"
"EF000114";"Logical";"Closed housing"
"EF000115";"Logical";"Perforated"
"EF000116";"Numeric";"RAL-number"
"EF000117";"Logical";"With hinged lid"
"EF000118";"Logical";"With mounting plate"
"EF000119";"Logical";"Expandable"
"EF000120";"Alphanumeric";"Directional characteristic"
"EF000121";"Numeric";"Tape width"
"EF000122";"Numeric";"Number of doors"
"EF000123";"Numeric";"Number of locks"
"EF000124";"Alphanumeric";"Connection type"
"EF000125";"Numeric";"Thickness"
"EF000126";"Numeric";"Number of connections"
"EF000128";"Numeric";"Beam angle"
"EF000129";"Alphanumeric";"Text strip"
"EF000131";"Alphanumeric";"Imprint"
"EF000132";"Numeric";"Nominal dimension"
"EF000133";"Alphanumeric";"Utilization"
"EF000134";"Alphanumeric";"Illumination"
"EF000136";"Alphanumeric";"Colour housing"
"EF000137";"Logical";"Dimmable"
"EF000138";"Alphanumeric";"Housing shape"
"EF000139";"Alphanumeric";"Surface protection"
"EF000141";"Alphanumeric";"Type of connector"
"EF000143";"Alphanumeric";"Type of current"
"EF000144";"Numeric";"Loudness"
"EF000145";"Alphanumeric";"Current supply"
"EF000146";"Numeric";"Number of contacts"
"EF000147";"Logical";"Creep-under protection"
"EF000148";"Logical";"With connection cord and plug"
"EF000150";"Alphanumeric";"Housing"
"EF000152";"Logical";"Suitable for steel wire braiding"
"EF000153";"Logical";"Replaceable cutting head"
"EF000154";"Numeric";"Length of blade"
"EF000155";"Alphanumeric";"Insulation"
"EF000160";"Alphanumeric";"Packaging"
"EF000162";"Alphanumeric";"Blade"
"EF000163";"Logical";"With wire cutter"
"EF000165";"Alphanumeric";"Pliers shape"
"EF000167";"Numeric";"Weight"
"EF000168";"Logical";"With cutting device"
"EF000169";"Numeric";"Nominal power"
"EF000173";"Numeric";"No-load stroke rate"
"EF000174";"Numeric";"Stroke"
"EF000176";"Numeric";"Reservoir volume"
"EF000177";"Numeric";"Wrench width"
"EF000178";"Numeric";"Shaft length"
"EF000185";"Numeric";"Warming-up time"
"EF000186";"Alphanumeric";"Soldering tip shape"
"EF000187";"Alphanumeric";"Voltage type"
"EF000188";"Numeric";"Switching current"
"EF000189";"Alphanumeric";"Switching function"
"EF000190";"Alphanumeric";"Colour button"
"EF000193";"Numeric";"Switching-on delay"
"EF000194";"Numeric";"Switch-off delay"
"EF000197";"Logical";"With movement sensor"
"EF000198";"Logical";"With signal lamp"
"EF000199";"Numeric";"Suitable for duct cover height"
"EF000202";"Numeric";"Autonomy"
"EF000203";"Numeric";"Number of memory locations"
"EF000204";"Alphanumeric";"Time program"
"EF000205";"Numeric";"Shortest switching time"
"EF000206";"Logical";"Radio-controlled time setting"
"EF000207";"Alphanumeric";"Colour lens"
"EF000208";"Alphanumeric";"Locking mechanism"
"EF000209";"Alphanumeric";"Cable assembly"
"EF000213";"Numeric";"Voltage"
"EF000214";"Alphanumeric";"Scope of delivery"
"EF000215";"Alphanumeric";"Type of accessory/spare part"
"EF000218";"Numeric";"Built-in depth"
"EF000219";"Numeric";"Number of appliances to build in"
"EF000222";"Numeric";"Shortest switching interval"
"EF000223";"Logical";"Random generator"
"EF000224";"Logical";"Astro program"
"EF000227";"Numeric";"Rated current"
"EF000228";"Numeric";"Rated voltage"
"EF000229";"Numeric";"Wall thickness"
"EF000230";"Alphanumeric";"Construction"
"EF000231";"Numeric";"Number of switch positions"
"EF000232";"Numeric";"Max. connection power"
"EF000233";"Alphanumeric";"Power supply system"
"EF000234";"Logical";"With memory function"
"EF000237";"Alphanumeric";"Adjustment"
"EF000241";"Logical";"With dimmer"
"EF000242";"Alphanumeric";"Signal transmission"
"EF000243";"Numeric";"Diameter openings"
"EF000244";"Logical";"Suitable for control current circuit"
"EF000245";"Logical";"Suitable for main current circuit"
"EF000249";"Alphanumeric";"Type of ventilation"
"EF000250";"Numeric";"Max. number of revolutions"
"EF000252";"Logical";"With mounting rail"
"EF000256";"Logical";"With time switch clock"
"EF000258";"Numeric";"Max. load capacity"
"EF000259";"Numeric";"Number of channels"
"EF000260";"Numeric";"Max. lamp power"
"EF000261";"Numeric";"Number of fields"
"EF000262";"Numeric";"Connection space"
"EF000263";"Logical";"With water heater"
"EF000264";"Logical";"With additional heating system"
"EF000266";"Numeric";"Number of rows"
"EF000267";"Numeric";"Max. cross section incoming cable"
"EF000268";"Numeric";"Max. cross section connection cable"
"EF000269";"Alphanumeric";"For installation kit"
"EF000275";"Alphanumeric";"Shape of cable lug"
"EF000276";"Alphanumeric";"Panel entry"
"EF000277";"Logical";"With seal head"
"EF000278";"Logical";"With transformer"
"EF000279";"Alphanumeric";"Type of transformer"
"EF000280";"Range";"Suitable for lamp power"
"EF000282";"Alphanumeric";"Type of grid"
"EF000287";"Numeric";"For transformer power"
"EF000289";"Logical";"With socket outlet"
"EF000291";"Alphanumeric";"Sensor element"
"EF000292";"Alphanumeric";"Material of light head"
"EF000301";"Logical";"Swivelling"
"EF000303";"Numeric";"Overhang length"
"EF000305";"Logical";"With PC/printer interface"
"EF000306";"Alphanumeric";"Type of indication"
"EF000307";"Logical";"Measured value memory"
"EF000308";"Logical";"Grease filling against corrosion"
"EF000309";"Numeric";"Min. inner diameter"
"EF000311";"Logical";"Modular construction"
"EF000312";"Logical";"Over current protection"
"EF000313";"Numeric";"Max. data transmission rate"
"EF000315";"Alphanumeric";"Connection type primary side"
"EF000316";"Alphanumeric";"Connection type secondary side"
"EF000317";"Logical";"Bi-directional"
"EF000318";"Numeric";"Number of inputs"
"EF000319";"Numeric";"Number of outputs"
"EF000321";"Alphanumeric";"Connection 1"
"EF000322";"Alphanumeric";"Connection 2"
"EF000323";"Alphanumeric";"Outlet direction"
"EF000324";"Logical";"Suitable for aeration/de-aeration"
"EF000325";"Logical";"With cable entry"
"EF000326";"Numeric";"Suitable for enclosure building width"
"EF000327";"Numeric";"Suitable for enclosure building depth"
"EF000329";"Logical";"Extendable"
"EF000332";"Numeric";"Built-in height"
"EF000336";"Numeric";"Number of socket outlets"
"EF000337";"Logical";"Suitable for 19 inch rack mounting"
"EF000338";"Numeric";"For max. number of fans"
"EF000339";"Alphanumeric";"Type of cover"
"EF000341";"Logical";"With mounting arm"
"EF000342";"Alphanumeric";"Time indicator"
"EF000343";"Logical";"With date indication"
"EF000344";"Numeric";"Heating capacity"
"EF000346";"Numeric";"Power consumption"
"EF000347";"Alphanumeric";"Control"
"EF000348";"Alphanumeric";"Insert"
"EF000349";"Logical";"Fake money restitution"
"EF000350";"Alphanumeric";"Indication"
"EF000351";"Numeric";"Number of phases"
"EF000352";"Numeric";"Max. door/gate width"
"EF000353";"Numeric";"Max. tensile force"
"EF000354";"Numeric";"Belt thickness"
"EF000355";"Numeric";"Belt length"
"EF000356";"Numeric";"Max. weight of roller shutter"
"EF000357";"Numeric";"Moment of torque"
"EF000358";"Numeric";"Length of power cord"
"EF000359";"Alphanumeric";"Type of stand/base"
"EF000360";"Alphanumeric";"Display"
"EF000361";"Logical";"With cover"
"EF000362";"Logical";"With name plate"
"EF000363";"Alphanumeric";"Size indication"
"EF000364";"Numeric";"Capacity"
"EF000365";"Logical";"High-speed battery charger"
"EF000368";"Numeric";"Thread length"
"EF000369";"Numeric";"Total length"
"EF000370";"Logical";"With nail"
"EF000371";"Numeric";"Nail length"
"EF000372";"Numeric";"Range"
"EF000375";"Alphanumeric";"Opening direction (according to DIN)"
"EF000376";"Alphanumeric";"Shape of strike plate"
"EF000377";"Logical";"With mechanical unlocking"
"EF000378";"Logical";"With adjustment"
"EF000379";"Logical";"With feedback signal"
"EF000380";"Logical";"Water protected"
"EF000381";"Alphanumeric";"Type of control gear"
"EF000382";"Numeric";"Length of anchor plug"
"EF000384";"Numeric";"Min. drill hole depth"
"EF000385";"Logical";"With screw"
"EF000386";"Numeric";"Material thickness"
"EF000387";"Numeric";"Suitable for number of cables NYM 3x1.5"
"EF000388";"Numeric";"Number of compartments"
"EF000389";"Logical";"With enhanced contact protection"
"EF000391";"Logical";"With strip code"
"EF000392";"Logical";"Built-in possibility for over voltage protection"
"EF000393";"Numeric";"Number of mountable connection strips"
"EF000394";"Numeric";"Modular spacing"
"EF000396";"Alphanumeric";"Suitable for type of connection"
"EF000397";"Alphanumeric";"Mounting dimension (standardised)"
"EF000398";"Logical";"With connecting lugs"
"EF000408";"Numeric";"Number of CEE socket outlets 16 A / 400 V / 5P"
"EF000409";"Numeric";"Number of CEE socket outlets 32 A / 400 V / 5P"
"EF000410";"Numeric";"Number of CEE socket outlets 63 A / 400 V / 5P"
"EF000411";"Numeric";"Number of socket outlets with protective contact (SCHUKO)"
"EF000412";"Logical";"Residual current circuit breaker (RCCB)"
"EF000413";"Alphanumeric";"Measuring range selection"
"EF000414";"Range";"Current measuring range, AC"
"EF000415";"Range";"Current measuring range, DC"
"EF000416";"Range";"Frequency"
"EF000417";"Range";"Current measuring range"
"EF000418";"Logical";"Resistance measuring range"
"EF000419";"Numeric";"Jaw opening"
"EF000420";"Logical";"True RMS measurement"
"EF000421";"Numeric";"Lightning impulse current (10/350 µs)"
"EF000422";"Logical";"With remote signalling contact"
"EF000425";"Alphanumeric";"Type of storage medium"
"EF000426";"Numeric";"Output power"
"EF000428";"Numeric";"Bridging time full load"
"EF000432";"Logical";"Suitable for network-management"
"EF000434";"Logical";"Self-adhesive"
"EF000436";"Numeric";"Number of device cups"
"EF000437";"Numeric";"Number of conduit inlets"
"EF000441";"Logical";"Adjustable"
"EF000442";"Alphanumeric";"Colour rendering index CRI"
"EF000443";"Alphanumeric";"Connection"
"EF000444";"Numeric";"Loading capacity"
"EF000445";"Numeric";"Height (from centre water connection)"
"EF000446";"Numeric";"Connected load"
"EF000447";"Alphanumeric";"Material reservoir"
"EF000448";"Alphanumeric";"Control element"
"EF000449";"Alphanumeric";"Colour boiler tank"
"EF000451";"Logical";"With acoustic cook signal"
"EF000452";"Alphanumeric";"Systems"
"EF000453";"Alphanumeric";"Operation mode"
"EF000455";"Logical";"With tap/mixer"
"EF000456";"Logical";"With heat exchanger"
"EF000457";"Logical";"With thermal insulation"
"EF000458";"Logical";"With display"
"EF000460";"Alphanumeric";"Heating system"
"EF000461";"Alphanumeric";"Water supply"
"EF000462";"Alphanumeric";"Type of regulation"
"EF000463";"Logical";"With heater connection"
"EF000465";"Numeric";"Nominal input additional heating system"
"EF000466";"Numeric";"Standby power consumption / 24 h"
"EF000467";"Numeric";"Number of selectable power levels"
"EF000469";"Logical";"With temperature controller"
"EF000470";"Logical";"With static discharge"
"EF000471";"Alphanumeric";"Flame retardant"
"EF000472";"Numeric";"Number of fibres"
"EF000473";"Numeric";"Spiral length (retracted)"
"EF000474";"Numeric";"Spiral length (extended)"
"EF000476";"Numeric";"Number of indoor stations"
"EF000477";"Numeric";"Number of outdoor stations"
"EF000478";"Alphanumeric";"Colour indoor station"
"EF000479";"Logical";"With heating function"
"EF000480";"Numeric";"Cool power"
"EF000483";"Logical";"With remote control"
"EF000486";"Numeric";"Surface"
"EF000488";"Logical";"With on/off switch"
"EF000493";"Numeric";"Immersing depth"
"EF000494";"Logical";"With sensor"
"EF000495";"Numeric";"Number of charger circuits"
"EF000499";"Alphanumeric";"Receiving range"
"EF000500";"Numeric";"Max. gain"
"EF000501";"Logical";"Suitable for twin modules"
"EF000502";"Numeric";"Max. number of programs/channels to process"
"EF000503";"Logical";"Stereo"
"EF000504";"Logical";"Adjacent channel compatible"
"EF000505";"Alphanumeric";"Input signal"
"EF000506";"Alphanumeric";"Output signal"
"EF000507";"Logical";"Cascadable"
"EF000508";"Alphanumeric";"Power adaptor"
"EF000509";"Logical";"Remote feedable"
"EF000510";"Logical";"Twin-Receiver"
"EF000512";"Numeric";"Number of scart-connections"
"EF000513";"Alphanumeric";"Control signal"
"EF000514";"Logical";"With protective enclosure"
"EF000515";"Logical";"With mast support"
"EF000516";"Logical";"Fit for multifeed"
"EF000517";"Alphanumeric";"Type of feeding system/LNB"
"EF000518";"Logical";"Support arm complete pre-mounted"
"EF000519";"Alphanumeric";"Return path channel"
"EF000520";"Logical";"With input splitter"
"EF000521";"Numeric";"Rib diameter"
"EF000522";"Logical";"With automatic switch"
"EF000523";"Numeric";"Max. engine power"
"EF000524";"Numeric";"Heat exchanger surface"
"EF000525";"Numeric";"Flange diameter"
"EF000526";"Numeric";"Max. immersion depth"
"EF000527";"Numeric";"Max. damping"
"EF000528";"Alphanumeric";"Suitable for max. pipe diameter"
"EF000531";"Logical";"With thermal feedback"
"EF000535";"Logical";"With IR sensor"
"EF000536";"Numeric";"Cable length"
"EF000537";"Alphanumeric";"Cable entry"
"EF000538";"Numeric";"Number of outlets"
"EF000539";"Numeric";"Through loss at 860 MHz"
"EF000540";"Numeric";"Tap loss at 860 MHz"
"EF000541";"Alphanumeric";"LNB version"
"EF000542";"Numeric";"Diameter of dish antenna"
"EF000543";"Alphanumeric";"Colour dish antenna"
"EF000544";"Numeric";"Number of satellite-receivers"
"EF000547";"Alphanumeric";"Colour control elements"
"EF000549";"Logical";"With key"
"EF000550";"Logical";"With wire protection"
"EF000551";"Numeric";"Diameter"
"EF000553";"Numeric";"Suitable for cable tie width to"
"EF000554";"Alphanumeric";"Colour plug"
"EF000557";"Alphanumeric";"Equipped with"
"EF000559";"Numeric";"Max. amperage"
"EF000560";"Numeric";"Nominal electricity consumption"
"EF000561";"Numeric";"Impedance connection 1"
"EF000562";"Numeric";"Impedance connection 2"
"EF000564";"Numeric";"Power of light generator"
"EF000565";"Alphanumeric";"Material of fibres"
"EF000567";"Logical";"With colour disc"
"EF000568";"Alphanumeric";"Type of colour disc"
"EF000569";"Logical";"With decoupling inductance"
"EF000571";"Logical";"With toothing"
"EF000576";"Logical";"With newspaper compartment"
"EF000578";"Numeric";"Time-out"
"EF000579";"Logical";"Separate power supply"
"EF000580";"Numeric";"Number of meter panels"
"EF000581";"Logical";"With starter insertion"
"EF000582";"Alphanumeric";"Nipple thread"
"EF000584";"Numeric";"Number of clamp positions"
"EF000586";"Alphanumeric";"Type of profile"
"EF000587";"Numeric";"Electricity consumption"
"EF000588";"Logical";"Continuity test"
"EF000589";"Alphanumeric";"Continuity indication"
"EF000590";"Range";"Isolation resistance measuring range"
"EF000591";"Logical";"Low resistance measurement"
"EF000592";"Logical";"Earthing measurement"
"EF000593";"Range";"Protective ground resistance measuring range"
"EF000594";"Logical";"Interface"
"EF000595";"Numeric";"Max. measurable conduit length"
"EF000596";"Alphanumeric";"Type of network"
"EF000597";"Logical";"Capacitance measurement"
"EF000599";"Logical";"Frequency measurement"
"EF000600";"Logical";"With decibel measurement (dB)"
"EF000602";"Numeric";"For cable duct height"
"EF000603";"Numeric";"For cable duct width"
"EF000609";"Alphanumeric";"Type of fastening screws"
"EF000610";"Logical";"With connection holes"
"EF000613";"Alphanumeric";"Bus type"
"EF000615";"Logical";"With overheating protection"
"EF000616";"Logical";"Frost protection circuit"
"EF000619";"Numeric";"Max. electricity consumption"
"EF000620";"Numeric";"Max. power supply"
"EF000622";"Numeric";"Gain FM"
"EF000623";"Numeric";"Gain B I"
"EF000624";"Numeric";"Gain B III"
"EF000625";"Numeric";"Gain B IV/V"
"EF000627";"Numeric";"Number of fan levels"
"EF000629";"Alphanumeric";"Measuring point"
"EF000630";"Alphanumeric";"Pump-/drain valve"
"EF000631";"Numeric";"Number of massage levels"
"EF000632";"Logical";"Infrared heat"
"EF000633";"Numeric";"Tank volume"
"EF000634";"Numeric";"Max. pressure"
"EF000635";"Logical";"Adapter for flat-iron"
"EF000637";"Numeric";"Bag volume"
"EF000638";"Logical";"Chopper"
"EF000639";"Numeric";"Number of UVA-tubes"
"EF000640";"Logical";"Facial tanner"
"EF000643";"Logical";"Foldable"
"EF000644";"Numeric";"Number of power levels"
"EF000645";"Logical";"Cooling stage"
"EF000646";"Alphanumeric";"Voltage change"
"EF000647";"Logical";"Diffusor"
"EF000648";"Numeric";"Number of brush end-pieces"
"EF000649";"Numeric";"Cross section"
"EF000650";"Alphanumeric";"Iron sole"
"EF000651";"Alphanumeric";"Water tank"
"EF000652";"Alphanumeric";"Safety breaker"
"EF000653";"Logical";"Anti chalk system"
"EF000654";"Alphanumeric";"Razor system"
"EF000655";"Logical";"Pivoting head"
"EF000658";"Numeric";"Number of end piece nozzles"
"EF000659";"Numeric";"Number of click-on brushes"
"EF000660";"Numeric";"Volume of water tank"
"EF000661";"Logical";"Power control step less"
"EF000662";"Logical";"Automatic switch-off"
"EF000664";"Logical";"Suitable for wall mounting"
"EF000665";"Logical";"With removing lifter"
"EF000666";"Numeric";"Partition"
"EF000667";"Logical";"Add'n weigh facility"
"EF000668";"Numeric";"Cutting thickness adjustable up to"
"EF000669";"Logical";"Frost blade"
"EF000670";"Alphanumeric";"Power control"
"EF000671";"Numeric";"Number of dry stages"
"EF000672";"Logical";"Timer"
"EF000673";"Logical";"Pulp ejection"
"EF000674";"Logical";"Selector switch for soft ice"
"EF000675";"Numeric";"Loading capacity flour"
"EF000676";"Logical";"Whisk system"
"EF000677";"Logical";"Cutting system"
"EF000678";"Logical";"Mix system"
"EF000679";"Logical";"Double seam"
"EF000680";"Logical";"Adjustable welding time"
"EF000681";"Logical";"Self-extinguishing"
"EF000682";"Alphanumeric";"Type of grill plate"
"EF000683";"Alphanumeric";"Type of grill surface"
"EF000684";"Alphanumeric";"Material pad"
"EF000685";"Logical";"Set version"
"EF000686";"Numeric";"Capacity eggs"
"EF000687";"Logical";"Keep-warm setting"
"EF000688";"Numeric";"Capacity espresso part"
"EF000690";"Numeric";"Number of steam baskets"
"EF000692";"Numeric";"Number of timers"
"EF000693";"Logical";"Time indication"
"EF000694";"Logical";"Stop watch"
"EF000695";"Numeric";"Volume cavity"
"EF000696";"Alphanumeric";"Type of heating"
"EF000697";"Logical";"Fine setting"
"EF000698";"Alphanumeric";"Grinding system"
"EF000699";"Logical";"Juice extractor setting"
"EF000701";"Logical";"Bread roll warmer"
"EF000702";"Logical";"Dust protection cover"
"EF000703";"Logical";"Automatic basket elevator"
"EF000706";"Numeric";"Number of plate sets"
"EF000707";"Logical";"Controllable thermostat"
"EF000708";"Numeric";"Roller diameter"
"EF000709";"Numeric";"Roller width"
"EF000710";"Numeric";"Number of ribs"
"EF000711";"Logical";"Program selection"
"EF000712";"Logical";"Time preselection"
"EF000713";"Alphanumeric";"Alarm tone switch-off"
"EF000717";"Numeric";"Diameter cooking field 1"
"EF000718";"Numeric";"Diameter cooking field 2"
"EF000719";"Numeric";"Power cooking plate 1"
"EF000720";"Numeric";"Power cooking plate 2"
"EF000721";"Alphanumeric";"Jug type"
"EF000722";"Logical";"Water tank removable"
"EF000723";"Logical";"Tea filter"
"EF000724";"Logical";"With water filter"
"EF000726";"Alphanumeric";"Input method"
"EF000727";"Alphanumeric";"Print process"
"EF000728";"Numeric";"Print resolution"
"EF000729";"Range";"Number of text lines"
"EF000730";"Numeric";"Digits in display"
"EF000731";"Logical";"Repetition of text"
"EF000732";"Range";"Working time"
"EF000734";"Logical";"Bend radius protection/trumpet flare"
"EF000735";"Logical";"With cable screw gland"
"EF000738";"Numeric";"Visible diagonal screen size"
"EF000742";"Numeric";"Number of program memory positions"
"EF000743";"Numeric";"Number of screws"
"EF000744";"Logical";"With carrying handle"
"EF000745";"Logical";"With temperature control"
"EF000746";"Alphanumeric";"Temperature indication"
"EF000749";"Logical";"RDS"
"EF000751";"Logical";"CD changer control"
"EF000758";"Alphanumeric";"Energy efficiency class"
"EF000761";"Alphanumeric";"Climate class"
"EF000767";"Alphanumeric";"Construction type"
"EF000769";"Numeric";"Net capacity freezer"
"EF000774";"Numeric";"Number of included curlers"
"EF000775";"Numeric";"Capacity normative cutleries"
"EF000776";"Numeric";"Sound level (in operation)"
"EF000777";"Numeric";"Energy consumption"
"EF000781";"Alphanumeric";"Protection"
"EF000783";"Numeric";"Number of connections sensor/actuator"
"EF000786";"Numeric";"Number of relays"
"EF000787";"Numeric";"Number of loudspeaker groups"
"EF000788";"Numeric";"Suitable for surface to"
"EF000789";"Numeric";"Recording time"
"EF000790";"Logical";"Remote read-out"
"EF000795";"Numeric";"Play time"
"EF000797";"Numeric";"Number of CD's in changer"
"EF000798";"Alphanumeric";"Frequency indication"
"EF000799";"Numeric";"Number of wake-up times"
"EF000802";"Numeric";"Number of title memories"
"EF000803";"Numeric";"Number of cassette drives"
"EF000805";"Numeric";"Music capacity"
"EF000806";"Numeric";"Nominal capacity"
"EF000807";"Logical";"Voice control"
"EF000808";"Logical";"Automatic switch-off at tape end"
"EF000809";"Numeric";"Music power at 4 Ohm"
"EF000810";"Numeric";"Sinus power at 4 Ohm"
"EF000811";"Numeric";"Optical zoom"
"EF000812";"Numeric";"Digital zoom"
"EF000813";"Logical";"LCD screen"
"EF000814";"Logical";"CD Player"
"EF000818";"Logical";"Auto reverse"
"EF000820";"Numeric";"Number of connectable devices"
"EF000822";"Logical";"Connection for electric vacuum brush"
"EF000823";"Alphanumeric";"Rotating tray"
"EF000824";"Numeric";"Max. microwave power"
"EF000826";"Numeric";"Number of cooking plates"
"EF000829";"Logical";"With dual cooking zone"
"EF000830";"Logical";"With oval baking zone"
"EF000831";"Logical";"With warming zone"
"EF000835";"Alphanumeric";"Oven cleaning"
"EF000836";"Logical";"Loudness controller"
"EF000837";"Numeric";"Number of storage surfaces"
"EF000840";"Numeric";"Number of integrated choke coils"
"EF000841";"Logical";"Programmable"
"EF000844";"Alphanumeric";"Subwoofer"
"EF000845";"Numeric";"Number of loudspeaker components"
"EF000846";"Numeric";"Built-in width"
"EF000847";"Alphanumeric";"Input"
"EF000849";"Numeric";"Picture brightness (ANSI)"
"EF000852";"Numeric";"Diameter tap hole"
"EF000853";"Alphanumeric";"Place of sink"
"EF000854";"Alphanumeric";"Ex-class"
"EF000855";"Numeric";"Connections for analogue end devices"
"EF000856";"Logical";"Serial interface"
"EF000861";"Numeric";"Output power (music)"
"EF000862";"Numeric";"Length of ironing table"
"EF000863";"Numeric";"Width ironing surface"
"EF000864";"Numeric";"Width indoor unit"
"EF000865";"Numeric";"Height indoor unit"
"EF000866";"Numeric";"Depth indoor unit"
"EF000867";"Numeric";"Weight indoor unit"
"EF000868";"Numeric";"Height outdoor unit"
"EF000869";"Numeric";"Width outdoor unit"
"EF000870";"Numeric";"Depth outdoor unit"
"EF000871";"Numeric";"Weight outdoor unit"
"EF000872";"Logical";"With transmission function"
"EF000873";"Numeric";"Number of lines to feed"
"EF000874";"Numeric";"Max. drill diameter in steel"
"EF000876";"Numeric";"Impedance"
"EF000877";"Numeric";"Max. current (Imax)"
"EF000878";"Logical";"With strain relief"
"EF000879";"Numeric";"Number of conductors"
"EF000880";"Numeric";"Volume"
"EF000881";"Logical";"Screened"
"EF000884";"Numeric";"Number of module positions"
"EF000885";"Logical";"With cool element"
"EF000887";"Alphanumeric";"Clamps"
"EF000888";"Logical";"Radio-controlled"
"EF000889";"Alphanumeric";"Release characteristic"
"EF000892";"Logical";"Fail-Safe"
"EF000893";"Numeric";"Number of max. stackable devices"
"EF000894";"Numeric";"Number of ports 10 Mbps BNC"
"EF000895";"Numeric";"Number of ports 10 Mbps AUI"
"EF000897";"Numeric";"Number of ports 10 Mbps of ST"
"EF000899";"Numeric";"Number of ports 100 Mbps RJ45"
"EF000900";"Numeric";"Number of ports 100 Mbps SC"
"EF000902";"Numeric";"Number of ports 1000 Mbps RJ45"
"EF000903";"Numeric";"Number of ports 1000 Mbps SC"
"EF000907";"Numeric";"Number of ports ISDN WAN"
"EF000914";"Logical";"Firewall"
"EF000916";"Numeric";"Number of ports serial"
"EF000917";"Numeric";"Number of ports parallel"
"EF000922";"Numeric";"Number of ports 10 Mbps of SC"
"EF000923";"Numeric";"Number of ports 100 Mbps ST"
"EF000928";"Numeric";"Number of fans"
"EF000929";"Numeric";"Min. cable cross section (installation side)"
"EF000930";"Numeric";"Min. cable cross section (luminaire side)"
"EF000931";"Alphanumeric";"Colour code"
"EF000935";"Alphanumeric";"IEC indication"
"EF000936";"Alphanumeric";"Other indications"
"EF000939";"Logical";"With hollow cable"
"EF000940";"Alphanumeric";"Pin assignment"
"EF000942";"Logical";"Radio button"
