CODE;VERSION;DESCRIPTION;STATUS;GROUP_CODE
"EC000159";"6";"Stabbing awl";"Published";"EG000050"
"EC000160";"7";"Shears";"Published";"EG000050"
"EC000161";"8";"Hammer";"Published";"EG000050"
"EC000162";"7";"Step drill";"Published";"EG020002"
"EC000163";"5";"Cable stripping tool";"Published";"EG000052"
"EC000164";"7";"Water pump pliers";"Published";"EG000050"
"EC000165";"6";"Side cutter";"Published";"EG000050"
"EC000166";"5";"Punch pliers";"Published";"EG000050"
"EC000167";"8";"Cable pulling system";"Published";"EG000050"
"EC000168";"7";"Crimp tool cable lugs, cable end sleeves, screen connection";"Published";"EG000052"
"EC000170";"7";"Hand saw";"Published";"EG000050"
"EC000172";"7";"Sabre saw (electric)";"Published";"EG000051"
"EC000173";"8";"Cutting/grinding disc";"Published";"EG020002"
"EC000174";"7";"Socket spanner";"Published";"EG000050"
"EC000175";"7";"Key for enclosures/cabinets";"Published";"EG000015"
"EC000177";"7";"Nibbler (electric)";"Published";"EG000051"
"EC000178";"6";"Wall chaser (electric)";"Published";"EG000051"
"EC000181";"7";"Tool box/case";"Published";"EG000050"
"EC000182";"7";"Tweezers";"Published";"EG000050"
"EC000183";"6";"Electric soldering iron";"Published";"EG000061"
"EC000184";"6";"Soldering tip";"Published";"EG000061"
"EC000185";"7";"Soft solder";"Published";"EG000061"
"EC000186";"8";"Razor socket outlet";"Published";"EG000013"
"EC000187";"7";"Marker";"Published";"EG000050"
"EC000188";"7";"Latching relay";"Published";"EG000062"
"EC000189";"8";"Twilight switch";"Published";"EG000013"
"EC000190";"5";"Face plate for wall duct";"Published";"EG000006"
"EC000191";"7";"Cable reel";"Published";"EG020002"
"EC000192";"6";"PLC memory card";"Published";"EG000024"
"EC000193";"7";"Decoration element for domestic switching devices";"Published";"EG000013"
"EC000195";"7";"Optical/acoustic signal device";"Published";"EG000035"
"EC000196";"7";"Contactor relay";"Published";"EG000017"
"EC000198";"4";"Amplifier module for contactor";"Published";"EG000017"
"EC000199";"7";"Illumination insert for domestic switching devices";"Published";"EG000013"
"EC000200";"8";"Enclosure for control circuit devices";"Published";"EG000017"
"EC000201";"6";"Built-in panel for command devices";"Published";"EG000017"
"EC000202";"6";"Protective cover for command devices";"Published";"EG000017"
"EC000203";"4";"Lamp transformer for control circuit devices";"Published";"EG000017"
"EC000204";"6";"Lamp holder block for control circuit devices";"Published";"EG000017"
"EC000205";"6";"Intelligent control element";"Published";"EG000013"
"EC000206";"7";"Technical spray";"Published";"EG000060"
"EC000209";"7";"Fire protection compound/binding/foam/sealant";"Published";"EG000056"
"EC000210";"7";"Fire partitioning";"Published";"EG000056"
"EC000211";"7";"Gland plate for enclosure/cabinet";"Published";"EG000023"
"EC000213";"5";"Mounting plate for distribution board";"Published";"EG000015"
"EC000214";"8";"Small distribution board";"Published";"EG000023"
"EC000215";"6";"Phase busbar";"Published";"EG000017"
"EC000216";"7";"Switch disconnector";"Published";"EG000017"
"EC000217";"8";"Shrink tubing";"Published";"EG000047"
"EC000218";"6";"Shrink end cap";"Published";"EG000047"
"EC000219";"7";"Repair seal";"Published";"EG000047"
"EC000220";"7";"Wall transit for cables and tubes";"Published";"EG000047"
"EC000221";"8";"Front element for push button";"Published";"EG000017"
"EC000222";"7";"Front element for selector switch";"Published";"EG000017"
"EC000223";"6";"Front element for indicator light";"Published";"EG000017"
"EC000224";"5";"7 segment LED driver";"Published";"EG000017"
"EC000225";"7";"Control circuit devices combination in enclosure";"Published";"EG000017"
"EC000228";"7";"Power circuit-breaker for trafo/generator/installation protection";"Published";"EG000017"
"EC000229";"5";"Handle for power circuit breaker";"Published";"EG000017"
"EC000230";"5";"Door coupling handle for switchgear";"Published";"EG000017"
"EC000231";"7";"Foot-/palm switch complete";"Published";"EG000017"
"EC000232";"6";"Optical module for signal tower";"Published";"EG000017"
"EC000233";"6";"Empty enclosure for pendant control station";"Published";"EG000017"
"EC000234";"7";"Pendant control station";"Published";"EG000017"
"EC000235";"8";"Power boost (for dimmer)";"Published";"EG000013"
"EC000236";"8";"PLC CPU-module";"Published";"EG000024"
"EC000237";"6";"PLC connection cable";"Published";"EG000024"
"EC000238";"5";"PLC simulation module";"Published";"EG000024"
"EC000239";"5";"Current limiter";"Published";"EG000017"
"EC000240";"6";"Cable entry";"Published";"EG000013"
"EC000241";"6";"D-system protective cover";"Published";"EG000020"
"EC000242";"8";"Plug with protective contact";"Published";"EG000013"
"EC000243";"6";"Pressure switch";"Published";"EG000017"
"EC000244";"7";"Span wire clamp";"Published";"EG000010"
"EC000245";"7";"Cable reel dispenser";"Published";"EG000050"
"EC000246";"7";"Swivel castor set for cable dispenser";"Published";"EG000050"
"EC000247";"7";"Spiralized cable";"Published";"EG000001"
"EC000248";"7";"Unequipped meter cabinet";"Published";"EG000023"
"EC000249";"7";"Protection switch disconnector housing";"Published";"EG000017"
"EC000250";"6";"Cable protective covering hood";"Published";"EG000002"
"EC000253";"8";"Cable protection tube for underground application";"Published";"EG000002"
"EC000256";"7";"Speed controller";"Published";"EG000062"
"EC000257";"7";"Transmitter/Remote control for domestic switching devices";"Published";"EG000013"
"EC000258";"8";"Low voltage halogen reflector lamp";"Published";"EG000028"
"EC000259";"7";"Low voltage halogen lamp without reflector";"Published";"EG000028"
"EC000260";"6";"Starter for lighting";"Published";"EG000029"
"EC000261";"8";"Enclosure/cabinet (empty)";"Published";"EG000011"
"EC000262";"6";"Meter cabinet equipped";"Published";"EG000022"
"EC000263";"6";"Meter panel";"Published";"EG000022"
"EC000264";"7";"Panel for distribution board";"Published";"EG000023"
"EC000266";"7";"High voltage halogen reflector lamp";"Published";"EG000028"
"EC000267";"6";"Ventilation appliance";"Published";"EG000043"
"EC000268";"4";"Cable entry cabinet";"Published";"EG000023"
"EC000269";"5";"Cable connection box for entry cabinet";"Published";"EG000023"
"EC000271";"5";"Miniature circuit breaker (MCB) plug model";"Published";"EG000020"
"EC000272";"6";"Indicator light complete";"Published";"EG000017"
"EC000273";"5";"Cable tree";"Published";"EG000023"
"EC000274";"4";"Connection cable tree for distribution boards";"Published";"EG000023"
"EC000275";"6";"Rail terminal bar";"Published";"EG000015"
"EC000276";"5";"Distribution terminal block";"Published";"EG000017"
"EC000277";"5";"D0-system switch disconnector";"Published";"EG000020"
"EC000278";"5";"D0-system adapter sleeve";"Published";"EG000020"
"EC000279";"5";"D-system ring adapter";"Published";"EG000020"
"EC000282";"8";"Tubelight system";"Published";"EG000027"
"EC000293";"6";"Support profile light-line system";"Published";"EG000030"
"EC000297";"7";"Staircase lighting timer";"Published";"EG000062"
"EC000300";"8";"Floor luminaire";"Published";"EG000027"
"EC000301";"8";"Luminaire bollard";"Published";"EG000027"
"EC000302";"8";"Table luminaire";"Published";"EG000027"
"EC000305";"6";"Measure-/test device for communication technology";"Published";"EG000044"
"EC000306";"7";"Low current connector";"Published";"EG000047"
"EC000309";"6";"Module for active network component/network unit";"Published";"EG000037"
"EC000310";"5";"Interface converter";"Published";"EG000037"
"EC000311";"6";"Telephone/modem connector";"Published";"EG000037"
"EC000312";"4";"Data switch";"Published";"EG000037"
"EC000313";"7";"Communications technology adapter";"Published";"EG000037"
"EC000317";"7";"Document holder (enclosure/cabinet)";"Published";"EG000011"
"EC000320";"7";"Ventilator (enclosure/cabinet)";"Published";"EG000011"
"EC000321";"7";"Luminaire (enclosure/cabinet)";"Published";"EG000011"
"EC000322";"6";"Cable guide for enclosures/cabinets";"Published";"EG000015"
"EC000327";"6";"Lock system for enclosure/cabinet";"Published";"EG000015"
"EC000329";"6";"Earthing rail for distribution board";"Published";"EG000015"
"EC000330";"8";"Multiple socket";"Published";"EG000013"
"EC000331";"6";"Ventilation plate (enclosure/cabinet)";"Published";"EG000011"
"EC000338";"8";"Clock";"Published";"EG000040"
"EC000339";"6";"Heating cable";"Published";"EG000043"
"EC000340";"5";"Finishing set heating cable";"Published";"EG000043"
"EC000341";"5";"Vending machine";"Published";"EG000040"
"EC000342";"5";"Maximum demand monitor for distribution board";"Published";"EG000045"
"EC000343";"6";"Garage door operator";"Published";"EG000034"
"EC000344";"5";"Strap motor";"Published";"EG000034"
"EC000345";"4";"Tube mounted motor";"Published";"EG000034"
"EC000346";"8";"Building site lighting luminaire";"Published";"EG000027"
"EC000347";"7";"Hand luminaire";"Published";"EG000027"
"EC000348";"7";"Machine and work bench luminaire";"Published";"EG000027"
"EC000349";"7";"Functional module for door communication";"Published";"EG000036"
"EC000350";"6";"Mounting frame for door station";"Published";"EG000036"
"EC000352";"5";"System telephone";"Published";"EG000038"
"EC000354";"6";"Mounting element for indoor station door communication";"Published";"EG000036"
"EC000355";"7";"Door station door communication";"Published";"EG000036"
"EC000356";"7";"Battery (not rechargeable)";"Published";"EG000053"
"EC000357";"8";"Rechargeable battery";"Published";"EG000053"
"EC000359";"7";"Universal charger";"Published";"EG000053"
"EC000362";"6";"Number/text label for house number luminaire";"Published";"EG000030"
"EC000363";"7";"Nail clip (for cables)";"Published";"EG000010"
"EC000364";"6";"Screw anchor";"Published";"EG000049"
"EC000365";"7";"Punch";"Published";"EG000050"
"EC000367";"7";"Electrical door opener";"Published";"EG020004"
"EC000368";"8";"Tube clamp";"Published";"EG000010"
"EC000370";"5";"Cable guide";"Published";"EG000010"
"EC000371";"7";"Telecommunication terminal strip";"Published";"EG000037"
"EC000372";"4";"LSA-Plus mounting box";"Published";"EG000037"
"EC000373";"6";"Additional device for telecommunication technology";"Published";"EG000037"
"EC000374";"7";"Distributor for telecommunication";"Published";"EG000037"
"EC000375";"6";"Telephone system";"Published";"EG000038"
"EC000376";"4";"Mounting plate for fibre optic connection box";"Published";"EG000037"
"EC000379";"8";"CEE socket outlet combination";"Published";"EG000014"
"EC000380";"7";"Clamp measuring instrument";"Published";"EG000044"
"EC000381";"8";"Lightning current arrester for power supply systems";"Published";"EG000021"
"EC000382";"7";"UPS";"Published";"EG000037"
"EC000385";"6";"Special tool for telecommunication technology";"Published";"EG000052"
"EC000386";"7";"Mounting rail/-profile";"Published";"EG000049"
"EC000387";"5";"Separation plate for surface tank";"Published";"EG000005"
"EC000389";"6";"Additional heating";"Published";"EG000043"
"EC000390";"6";"Boiling water unit";"Published";"EG000042"
"EC000392";"7";"Instantaneous water heater";"Published";"EG000042"
"EC000393";"8";"Hot water heat pump";"Published";"EG000042"
"EC000395";"6";"Storage heater";"Published";"EG000043"
"EC000396";"5";"Heating element set for storage heater";"Published";"EG000043"
"EC000397";"5";"Housing for storage heater";"Published";"EG000043"
"EC000398";"6";"Distribution terminal for transformer";"Published";"EG000029"
"EC000399";"8";"Indication- and signalling lamp";"Published";"EG000028"
"EC000400";"7";"Door station set";"Published";"EG000036"
"EC000401";"7";"Lamp holder";"Published";"EG000030"
"EC000405";"7";"Electric floor heating";"Published";"EG000043"
"EC000406";"4";"Thermal insulation";"Published";"EG000042"
"EC000408";"5";"Battery for mobile and wireless telephone";"Published";"EG000038"
"EC000409";"4";"Booster";"Published";"EG000037"
"EC000411";"6";"Charging controller";"Published";"EG000043"
"EC000412";"6";"Lux meter";"Published";"EG000044"
"EC000414";"7";"Built-in installation box luminaire";"Published";"EG000030"
"EC000415";"6";"Hole saw";"Published";"EG000051"
"EC000416";"6";"Terrestrial antenna";"Published";"EG000033"
"EC000417";"4";"Head end station";"Published";"EG000033"
"EC000418";"4";"Compact head end station";"Published";"EG000033"
"EC000419";"5";"Module for head end station";"Published";"EG000033"
"EC000420";"4";"Diplexer/filter";"Published";"EG000033"
"EC000421";"6";"Tap-off and distributor";"Published";"EG000033"
"EC000422";"4";"Multi switch for communication technology";"Published";"EG000033"
"EC000423";"5";"CATV-amplifier";"Published";"EG000033"
"EC000424";"6";"Receiver";"Published";"EG000033"
"EC000425";"4";"Feeding system/LNB";"Published";"EG000033"
"EC000426";"5";"Satellite antenna";"Published";"EG000033"
"EC000427";"7";"Finned-tube heater";"Published";"EG000043"
"EC000429";"5";"Pumping shaft-container";"Published";"EG000034"
"EC000430";"5";"Recessed mounted box for doorbell";"Published";"EG000036"
"EC000432";"4";"Level adjuster";"Published";"EG000033"
"EC000433";"5";"Antenna pole";"Published";"EG000033"
"EC000434";"4";"Antenna support bracket";"Published";"EG000033"
"EC000435";"5";"Sun-/twilight sensor for roller-blind drive";"Published";"EG000034"
"EC000436";"8";"Radio receiver";"Published";"EG000013"
"EC000437";"7";"Housing for rectangular connectors";"Published";"EG000058"
"EC000438";"8";"Contact insert for rectangular connectors";"Published";"EG000058"
"EC000439";"7";"Antenna socket box";"Published";"EG000033"
"EC000440";"5";"Satellite set";"Published";"EG000033"
"EC000441";"8";"Cable gland";"Published";"EG000009"
"EC000443";"7";"Device built-in switch and -push button";"Published";"EG000013"
"EC000444";"5";"Insert for child protection";"Published";"EG000013"
"EC000445";"8";"Cord switch/dimmer";"Published";"EG000013"
"EC000446";"7";"Push in terminal";"Published";"EG000047"
"EC000447";"6";"Terminal for luminaire";"Published";"EG000047"
"EC000448";"4";"Terminal resistor";"Published";"EG000033"
"EC000449";"8";"Mounting base and -element for cable ties";"Published";"EG000049"
"EC000450";"6";"Appliance connection box";"Published";"EG000013"
"EC000451";"5";"Cable plug sealing clamp";"Published";"EG000009"
"EC000452";"5";"Motor protection plug";"Published";"EG000017"
"EC000453";"6";"Cable tie tool";"Published";"EG000050"
"EC000454";"8";"One-piece strut clamp";"Published";"EG000010"
"EC000455";"6";"Counter shell for cable clamp";"Published";"EG000010"
"EC000456";"7";"Front panel (enclosure/cabinet)";"Published";"EG000011"
"EC000458";"6";"Connector for luminaire";"Published";"EG000047"
"EC000461";"6";"Cover plate for installation column";"Published";"EG000008"
"EC000462";"6";"Perilex plug";"Published";"EG000014"
"EC000464";"8";"Fixing clamp";"Published";"EG000049"
"EC000466";"6";"Heat-shrink crimp connection";"Published";"EG000047"
"EC000467";"6";"Balun";"Published";"EG000037"
"EC000468";"5";"S-Hook";"Published";"EG000049"
"EC000469";"5";"Chain connecting link";"Published";"EG000049"
"EC000470";"8";"Fibre optic cable light system";"Published";"EG000027"
"EC000471";"6";"Emergency unit for luminaire";"Published";"EG000030"
"EC000472";"5";"Basic element for surge protection device";"Published";"EG000021"
"EC000473";"6";"Hanger for trapezoidal ceiling";"Published";"EG000049"
"EC000474";"7";"Screw clamp";"Published";"EG000049"
"EC000475";"7";"Protective cap/cover for mounting rail/- profile";"Published";"EG000049"
"EC000478";"6";"Letterbox";"Published";"EG000036"
"EC000479";"6";"Pictogram for emergency luminaire";"Published";"EG000030"
"EC000481";"8";"Orientation luminaire";"Published";"EG000027"
"EC000482";"7";"Fastening element for mounting rail/-profile";"Published";"EG000049"
"EC000483";"6";"Coupler for support/profile rail";"Published";"EG000004"
"EC000484";"7";"Energy distributor for construction site";"Published";"EG000023"
"EC000485";"5";"Neutral busbar";"Published";"EG000012"
"EC000486";"7";"Electrical unit for gas discharge lamp";"Published";"EG000029"
"EC000488";"5";"Octagonal steel shaft for tube motor";"Published";"EG000034"
"EC000489";"7";"Cross-connector for terminal block";"Published";"EG000012"
"EC000490";"7";"Accessories/spare parts for earthing and lightning";"Published";"EG000021"
"EC000491";"5";"Earth terminal clamp";"Published";"EG000021"
"EC000492";"6";"Earth rod/profiled earth rod";"Published";"EG000021"
"EC000493";"7";"Earthing pipe clamp";"Published";"EG000021"
"EC000494";"8";"Voltage tester";"Published";"EG000044"
"EC000495";"5";"Continuity tester";"Published";"EG000044"
"EC000496";"7";"Pipe and cable locator/sorter";"Published";"EG000044"
"EC000497";"7";"Multifunction installation tester";"Published";"EG000044"
"EC000498";"8";"Portable appliance tester/PAT tester";"Published";"EG000044"
"EC000499";"7";"Insulation tester";"Published";"EG000044"
"EC000500";"5";"Cable length meter";"Published";"EG000044"
"EC000501";"4";"Network management software";"Published";"EG000037"
"EC000502";"8";"Light/energy pole";"Published";"EG000013"
"EC000503";"8";"Globe-shaped incandescent lamp";"Published";"EG000028"
"EC000504";"7";"Round conductor/wire for lightning protection";"Published";"EG000021"
"EC000505";"6";"Air-termination equipment for lightning protection";"Published";"EG000021"
"EC000506";"5";"Lead-in earthing rod for lightning protection";"Published";"EG000021"
"EC000507";"7";"Roof conductor holder for lightning protection";"Published";"EG000021"
"EC000508";"8";"Conductor holder for lightning protection";"Published";"EG000021"
"EC000509";"6";"Rod holder for lightning protection";"Published";"EG000021"
"EC000510";"7";"Protective/isolating spark gap for lightning protection";"Published";"EG000021"
"EC000511";"5";"Tube earthing clamp for lightning protection";"Published";"EG000021"
"EC000512";"7";"Disconnection clamp for lightning protection";"Published";"EG000021"
"EC000513";"7";"Connection clamp for lightning protection";"Published";"EG000021"
"EC000514";"7";"Connector for lightning protection";"Published";"EG000021"
"EC000515";"5";"Network adapter";"Published";"EG000037"
"EC000516";"8";"Round or flat plug/receptacle";"Published";"EG000047"
"EC000519";"5";"Terminal sleeve for protective hose";"Published";"EG000003"
"EC000522";"6";"Explosion proof switch";"Published";"EG000014"
"EC000523";"8";"Convector (electric)";"Published";"EG000043"
"EC000524";"5";"Assortment box for installation- and connection material";"Published";"EG000047"
"EC000525";"4";"Satellite amplifier";"Published";"EG000033"
"EC000526";"4";"Terrestrial amplifier";"Published";"EG000033"
"EC000528";"6";"Earthing plate";"Published";"EG000021"
"EC000529";"8";"Adhesive";"Published";"EG000049"
"EC000530";"5";"Solvent";"Published";"EG000049"
"EC000532";"7";"Fan";"Published";"EG000040"
"EC000533";"6";"Lighting control system component";"Published";"EG000029"
"EC000534";"8";"Automatic controller for light controlling system";"Published";"EG000013"
"EC000535";"6";"Heating emitter";"Published";"EG000043"
"EC000536";"5";"Cable clip bracket";"Published";"EG000010"
"EC000537";"5";"Nail disk";"Published";"EG000049"
"EC000539";"5";"Blood pressure measuring instrument";"Published";"EG000040"
"EC000540";"5";"Massager";"Published";"EG000040"
"EC000541";"6";"Steam cleaner";"Published";"EG000040"
"EC000542";"8";"Vacuum cleaner";"Published";"EG000040"
"EC000543";"8";"Blower vac (electrical)";"Published";"EG000051"
"EC000544";"6";"Pocket calculator";"Published";"EG000040"
"EC000545";"6";"Tanning appliance";"Published";"EG000040"
"EC000546";"6";"Hair dryer/hair styler";"Published";"EG000040"
"EC000548";"7";"Flatiron";"Published";"EG000040"
"EC000549";"6";"Vertical cable ladder";"Published";"EG000004"
"EC000551";"6";"Shaver";"Published";"EG000040"
"EC000552";"6";"Body care appliance";"Published";"EG000040"
"EC000553";"6";"Hair trimmer";"Published";"EG000040"
"EC000554";"6";"Wall hair dryer";"Published";"EG000040"
"EC000555";"6";"Personal scale";"Published";"EG000040"
"EC000556";"6";"Electric blanket/pillow/foot warmer";"Published";"EG000040"
"EC000557";"5";"Fever thermometer";"Published";"EG000040"
"EC000558";"7";"Oral care appliance";"Published";"EG000040"
"EC000560";"6";"Mixer/blender";"Published";"EG000040"
"EC000561";"6";"Can opener";"Published";"EG000040"
"EC000562";"5";"Knife sharpener";"Published";"EG000040"
"EC000563";"6";"Baby food warmer";"Published";"EG000040"
"EC000564";"6";"Kitchen scale";"Published";"EG000040"
"EC000565";"7";"Slicing machine";"Published";"EG000040"
"EC000566";"6";"Electric knife";"Published";"EG000040"
"EC000567";"6";"Food dehydrator";"Published";"EG000040"
"EC000568";"6";"Squeezer/juicer";"Published";"EG000040"
"EC000569";"6";"Ice cream maker";"Published";"EG000040"
"EC000570";"6";"Chopper";"Published";"EG000040"
"EC000571";"6";"Kitchen machine";"Published";"EG000040"
"EC000572";"7";"Vacuum sealer";"Published";"EG000040"
"EC000574";"6";"Raclette set";"Published";"EG000040"
"EC000575";"6";"Grill";"Published";"EG000040"
"EC000576";"6";"Fondue/wok";"Published";"EG000040"
"EC000577";"6";"Egg boiler";"Published";"EG000040"
